episode,real_score,is_funnel,frame_count,agent_fps,seed,timestamp
263,104.0,0,383,396.2,1675697918,2026-06-29T11:59:35.611077
264,104.0,0,383,391.5,1554380304,2026-06-29T11:59:36.692932
265,104.0,0,383,334.9,591371028,2026-06-29T11:59:37.954124
266,104.0,0,383,405.5,289980513,2026-06-29T11:59:38.998304
267,104.0,0,383,393.2,1912248203,2026-06-29T11:59:40.073949
268,104.0,0,383,416.5,671731237,2026-06-29T11:59:41.094128
269,104.0,0,383,405.2,951161241,2026-06-29T11:59:42.146884
270,104.0,0,383,364.8,1927133095,2026-06-29T11:59:43.302297
271,104.0,0,383,330.7,948378875,2026-06-29T11:59:44.564211
272,104.0,0,383,401.4,1644124640,2026-06-29T11:59:45.620867
273,104.0,0,383,390.9,35872548,2026-06-29T11:59:46.701250
274,104.0,0,383,308.5,1056304272,2026-06-29T11:59:48.072361
275,104.0,0,383,371.6,782126722,2026-06-29T11:59:49.211683
276,104.0,0,383,279.9,12723496,2026-06-29T11:59:50.685578
277,104.0,0,383,414.3,929376304,2026-06-29T11:59:51.713686
278,104.0,0,383,395.4,2099407823,2026-06-29T11:59:52.783833
279,104.0,0,383,370.9,1714900222,2026-06-29T11:59:53.915887
280,104.0,0,383,354.7,319952149,2026-06-29T11:59:55.099036
281,104.0,0,383,349.9,1386713882,2026-06-29T11:59:56.297186
282,104.0,0,383,318.4,493347643,2026-06-29T11:59:57.606598
283,104.0,0,383,359.7,2075346362,2026-06-29T11:59:58.785963
284,104.0,0,383,367.0,1158322599,2026-06-29T11:59:59.938135
285,104.0,0,383,360.6,382641617,2026-06-29T12:00:01.106847
286,104.0,0,383,357.1,160944420,2026-06-29T12:00:02.285000
287,104.0,0,383,325.0,1674522346,2026-06-29T12:00:03.576777
288,104.0,0,383,362.3,2100534425,2026-06-29T12:00:04.737287
289,104.0,0,383,366.8,1513466155,2026-06-29T12:00:05.891047
290,104.0,0,383,366.1,235147205,2026-06-29T12:00:07.041768
291,104.0,0,383,363.6,266764174,2026-06-29T12:00:08.199708
292,104.0,0,383,325.8,1399518596,2026-06-29T12:00:09.479819
293,104.0,0,383,360.7,1644424714,2026-06-29T12:00:10.659036
294,104.0,0,383,364.7,1251515318,2026-06-29T12:00:11.813803
295,104.0,0,383,362.8,1721066548,2026-06-29T12:00:12.980898
296,104.0,0,383,349.5,1025219721,2026-06-29T12:00:14.177414
297,104.0,0,383,363.3,157672003,2026-06-29T12:00:15.343398
298,104.0,0,383,340.9,610565940,2026-06-29T12:00:16.577246
299,104.0,0,383,359.5,612965777,2026-06-29T12:00:17.769547
300,104.0,0,383,360.0,1306560431,2026-06-29T12:00:18.938954
301,104.0,0,383,370.4,95646341,2026-06-29T12:00:20.076561
302,104.0,0,383,367.7,352751260,2026-06-29T12:00:21.222653
303,104.0,0,383,316.4,2003534633,2026-06-29T12:00:22.537836
304,104.0,0,383,373.3,1976371101,2026-06-29T12:00:23.664374
305,104.0,0,383,375.3,916700391,2026-06-29T12:00:24.792457
306,104.0,0,383,376.0,1692344241,2026-06-29T12:00:25.912478
307,104.0,0,383,366.9,980845024,2026-06-29T12:00:27.062489
308,104.0,0,383,341.7,698707480,2026-06-29T12:00:28.290871
309,104.0,0,383,375.4,1838781767,2026-06-29T12:00:29.419518
310,104.0,0,383,380.0,2033365374,2026-06-29T12:00:30.531934
311,104.0,0,383,372.8,73063891,2026-06-29T12:00:31.668321
312,104.0,0,383,399.1,1029133644,2026-06-29T12:00:32.735375
313,104.0,0,383,414.6,781435643,2026-06-29T12:00:33.757672
314,104.0,0,383,340.5,1116461718,2026-06-29T12:00:34.986969
315,104.0,0,383,416.2,166151627,2026-06-29T12:00:36.009737
316,104.0,0,383,410.9,1223082802,2026-06-29T12:00:37.042377
317,104.0,0,383,408.5,1863143525,2026-06-29T12:00:38.078416
318,104.0,0,383,380.4,1612790952,2026-06-29T12:00:39.188661
319,104.0,0,383,400.5,974679975,2026-06-29T12:00:40.257568
320,104.0,0,383,258.0,1041543154,2026-06-29T12:00:41.848558
321,104.0,0,383,224.8,340384260,2026-06-29T12:00:43.750085
322,104.0,0,383,186.3,1506183247,2026-06-29T12:00:46.003817
323,104.0,0,383,204.5,405690936,2026-06-29T12:00:48.068032
324,104.0,0,383,193.5,203801632,2026-06-29T12:00:50.246065
325,104.0,0,383,183.7,127715345,2026-06-29T12:00:52.525929
326,104.0,0,383,223.0,1485107829,2026-06-29T12:00:54.434410
327,104.0,0,383,211.3,1030514821,2026-06-29T12:00:56.446903
328,104.0,0,383,201.9,414178287,2026-06-29T12:00:58.541725
329,104.0,0,383,199.5,2017716185,2026-06-29T12:01:00.649280
330,104.0,0,383,188.8,148494657,2026-06-29T12:01:02.879412
331,104.0,0,383,217.2,189276884,2026-06-29T12:01:04.832180
332,104.0,0,383,212.7,856148876,2026-06-29T12:01:06.825348
333,104.0,0,383,205.1,399577105,2026-06-29T12:01:08.885181
334,104.0,0,383,196.2,375972130,2026-06-29T12:01:11.030484
335,104.0,0,383,185.0,92567806,2026-06-29T12:01:13.300605
336,104.0,0,383,202.2,2062564011,2026-06-29T12:01:15.393843
337,104.0,0,383,213.1,858335263,2026-06-29T12:01:17.386973
338,104.0,0,383,215.5,848919043,2026-06-29T12:01:19.356020
339,104.0,0,383,216.4,1484128729,2026-06-29T12:01:21.323995
340,104.0,0,383,215.2,690203518,2026-06-29T12:01:23.305240
341,104.0,0,383,213.5,800763519,2026-06-29T12:01:25.292465
